Battery Power:
 lidwake              1
 autopoweroff         1
 standbydelayhigh     86400
 autopoweroffdelay    28800
 proximitywake        0
 standby              1
 standbydelaylow      10800
 ttyskeepawake        1
 highstandbythreshold 50
 powernap             0
 gpuswitch            2
 hibernatefile        /var/vm/sleepimage
 hibernatemode        3
 displaysleep         30
 sleep                30
 tcpkeepalive         1
 halfdim              1
 acwake               0
 lessbright           1
 disksleep            0
AC Power:
 lidwake              1
 autopoweroff         1
 standbydelayhigh     86400
 autopoweroffdelay    28800
 standbydelaylow      10800
 standby              1
 proximitywake        1
 ttyskeepawake        1
 hibernatemode        3
 powernap             1
 gpuswitch            2
 hibernatefile        /var/vm/sleepimage
 highstandbythreshold 50
 displaysleep         30
 womp                 1
 networkoversleep     0
 sleep                0
 tcpkeepalive         1
 halfdim              1
 acwake               0
 disksleep            10
